Phase,Monat,Fällig bis,Aufgabe,Deliverable/Artefakt,KPI/Erfolgskriterium,Priorität,Schätzung (h),Status,Abhängigkeiten
Dez 2025 – Orchestrierung & Data Quality,2025-12,2025-12-10,DAG: Ingest → Staging → dbt build → Tests → Docs Publish,orchestration/dags/*,Täglicher Run erfolgreich,P1,4,To Do,
Dez 2025 – Orchestrierung & Data Quality,2025-12,2025-12-12,Great Expectations für Ingestion-Checks einführen,dq/expectations/*,Pflichtfelder/Range geprüft,P2,3,To Do,
Dez 2025 – Orchestrierung & Data Quality,2025-12,2025-12-15,Slack/Email Alerting bei Fail/SLA,Alert-Setup,Benachrichtigungen getestet,P1,1,To Do,
Dez 2025 – Orchestrierung & Data Quality,2025-12,2025-12-18,Docs Publish automatisieren (Artefakt/Pages),CI Step für Docs,Docs nach jedem Run aktualisiert,P2,1,To Do,
Dez 2025 – Orchestrierung & Data Quality,2025-12,2025-12-22,Orchestrierungs- & SLA-Diagramm zeichnen,Diagramm (PNG/Mermaid),SLA & Ownership klar,P2,1,To Do,
Dez 2025 – Orchestrierung & Data Quality,2025-12,2025-12-29,Power BI Refresh Automatisierung (Skript/Webhook),Script + Anleitung,Refresh nach Pipeline-Run,P2,2,To Do,
Jan 2026 – Privacy & Server-Side Tracking (PoC),2026-01,2026-01-05,Messkonzept & PII-Minimierung definieren,Dokument + Tabellen,Pflicht-/Optionalfelder festgelegt,P1,3,To Do,
Jan 2026 – Privacy & Server-Side Tracking (PoC),2026-01,2026-01-08,Consent-Flows & Purpose-Map modellieren,Flow-Diagramm,Consent-Gates identifiziert,P1,2,To Do,
Jan 2026 – Privacy & Server-Side Tracking (PoC),2026-01,2026-01-15,Serverseitigen Collector (Cloud Run/Function) implementieren,collector/ Code,Events landen in BQ Landing,P1,6,To Do,
Jan 2026 – Privacy & Server-Side Tracking (PoC),2026-01,2026-01-18,Validierung & Idempotenz (Retry/Backoff) einbauen,Tests + Logs,Duplikate unter Kontrolle,P2,3,To Do,Collector implementiert
Jan 2026 – Privacy & Server-Side Tracking (PoC),2026-01,2026-01-22,Vergleich client vs. server (Qualität/Latenz/Kosten),Vergleichstabelle,Mind. 3 Kennzahlen je Pfad,P1,2,To Do,
Jan 2026 – Privacy & Server-Side Tracking (PoC),2026-01,2026-01-25,Privacy/Governance-Dokument fertigstellen,Policy-Dokument,Review abgeschlossen,P1,2,To Do,
"Feb 2026 – CI/CD, Kosten, Sicherheit",2026-02,2026-02-05,"GitHub Actions: Linting (sqlfluff), dbt build, Tests, Docs",CI Workflow v2,PR-Checks Pflicht,P1,3,To Do,
"Feb 2026 – CI/CD, Kosten, Sicherheit",2026-02,2026-02-10,"Materialisierungen optimieren (incremental, table)",dbt Configs,Build-Zeit/Kosten verringert,P2,2,To Do,
"Feb 2026 – CI/CD, Kosten, Sicherheit",2026-02,2026-02-12,BigQuery Slots/Autoscaling evaluieren,Entscheidungsnotiz,Kosten/Nutzen dokumentiert,P3,1,To Do,
"Feb 2026 – CI/CD, Kosten, Sicherheit",2026-02,2026-02-15,RLS/CLS & Masking-Policies implementieren,security/policies.sql,Policy Tests grün,P1,3,To Do,
"Feb 2026 – CI/CD, Kosten, Sicherheit",2026-02,2026-02-18,Secrets Rotation & Key-Management etablieren,Runbook Security,Rotation dokumentiert,P1,2,To Do,
"Feb 2026 – CI/CD, Kosten, Sicherheit",2026-02,2026-02-22,Kosten- & Security-Runbook schreiben,Runbook,Audit-Checklist vorhanden,P2,2,To Do,
Mrz 2026 – BI Enablement (Power BI),2026-03,2026-03-05,Power BI Thin Model auf BQ-Marts anbinden,PBIX (Thin),Verbindung stabil,P1,2,To Do,
Mrz 2026 – BI Enablement (Power BI),2026-03,2026-03-10,"DAX KPI-Layer (Time Intelligence, Calc Groups)",Measure-Tabelle + Calc Groups,Konsistenz mit dbt-Metriken,P1,3,To Do,
Mrz 2026 – BI Enablement (Power BI),2026-03,2026-03-15,RLS für 2 Personas (Redaktion/Marketing),RLS-Rollen,Zugriffe geprüft,P1,2,To Do,
Mrz 2026 – BI Enablement (Power BI),2026-03,2026-03-22,"Decision Hub bauen (Funnel, Kohorten, Attribution)",Dashboard + Seiten,Stakeholder-Review bestanden,P1,4,To Do,
Mrz 2026 – BI Enablement (Power BI),2026-03,2026-03-29,Dokumentation & Nutzer-Guide,Readme + Kurzanleitung,Onboarding <30 min möglich,P2,2,To Do,
Apr 2026 – Zertifizierung & Systemdesign,2026-04,2026-04-05,Lernplan GCP Professional Data Engineer festlegen,Study Plan,Meilensteine definiert,P1,1,To Do,
Apr 2026 – Zertifizierung & Systemdesign,2026-04,2026-04-12,2 komplette Probeklausuren absolvieren,Scores/Notizen,Bestehen >75 %,P1,4,To Do,
Apr 2026 – Zertifizierung & Systemdesign,2026-04,2026-04-20,GCP PDE Prüfung ablegen,Zertifikat,Bestanden ✔,P1,3,To Do,
Apr 2026 – Zertifizierung & Systemdesign,2026-04,2026-04-24,Referenzarchitektur: Batch + Near-Realtime,2 Diagramme,Kosten/DR/Compliance abgewogen,P2,2,To Do,
Apr 2026 – Zertifizierung & Systemdesign,2026-04,2026-04-28,Entscheidungsmatrix (Kosten/Komplexität/Compliance),Matrix-Dokument,Trade-offs transparent,P2,1,To Do,
Mai 2026 – Streaming/Realtime & Observability,2026-05,2026-05-05,Pub/Sub → BigQuery Streaming-Pipeline bauen,streaming/ Code,End-to-End läuft,P1,5,To Do,
Mai 2026 – Streaming/Realtime & Observability,2026-05,2026-05-10,dbt incremental + snapshots für Events,snapshots/*,Historie konsistent,P1,3,To Do,
Mai 2026 – Streaming/Realtime & Observability,2026-05,2026-05-15,"Observability (lineage, Freshness, Latenz)",observability/monitors,SLA-Metriken sichtbar,P2,2,To Do,
Mai 2026 – Streaming/Realtime & Observability,2026-05,2026-05-20,Chaos-Übung & Postmortem,Runbook + Postmortem,Verbesserungen abgeleitet,P2,2,To Do,
Jun 2026 – Portfolio & Bewerbung,2026-06,2026-06-05,"Repo-Polish: READMEs, GIF-Demos, Quickstarts",Polished Repos,Onboarding <15 min,P1,3,To Do,
Jun 2026 – Portfolio & Bewerbung,2026-06,2026-06-10,Demo-Videos aufzeichnen (2–3),Kurzvideos,"Je 2–3 min, klarer Nutzen",P2,3,To Do,
Jun 2026 – Portfolio & Bewerbung,2026-06,2026-06-15,5 STAR-Cases schreiben (Impact-KPIs),1‑Pager x5,Messbarer Business-Impact,P1,3,To Do,
Jun 2026 – Portfolio & Bewerbung,2026-06,2026-06-20,"Mock-Interviews: SQL live, Systemdesign, Storytelling",Scores/Feedback,Zielscore erreicht,P1,3,To Do,
Jun 2026 – Portfolio & Bewerbung,2026-06,2026-06-25,"Bewerbungspaket finalisieren (CV, LinkedIn, Pitch, Gehaltsanker)",Mappe komplett,3 Bewerbungen versendet,P1,2,To Do,
Fast‑Start (12 Wochen),2025-10..12,2025-12-31,SQL-Drills täglich (30–45 min) [Sprint 1 (W1–4)],SQL-Notebook,25+ Übungen,P1,0,To Do,Siehe Monatsaufgaben
Fast‑Start (12 Wochen),2025-10..12,2025-12-31,BQ: Partition/Cluster + Kostenlabel [Sprint 1 (W1–4)],BQ Tabellen,2 Benchmarks,P1,0,To Do,Siehe Monatsaufgaben
Fast‑Start (12 Wochen),2025-10..12,2025-12-31,dbt Staging/Core/Marts + ≥40 Tests [Sprint 2 (W5–8)],dbt Projekt,Build <10 min,P1,0,To Do,Siehe Monatsaufgaben
Fast‑Start (12 Wochen),2025-10..12,2025-12-31,Semantic Layer: 3–5 Metriken [Sprint 2 (W5–8)],metrics.yml,Metriken konsistent,P1,0,To Do,Siehe Monatsaufgaben
Fast‑Start (12 Wochen),2025-10..12,2025-12-31,Orchestrierung DAG + Alerts [Sprint 3 (W9–12)],DAG + Alerts,Success-Rate ≥99 %,P1,0,To Do,Siehe Monatsaufgaben
Fast‑Start (12 Wochen),2025-10..12,2025-12-31,Server-Side Collector PoC + Consent-Gate [Sprint 3 (W9–12)],collector/,>99 % valide Events,P1,0,To Do,Siehe Monatsaufgaben
Fast‑Start (12 Wochen),2025-10..12,2025-12-31,Power BI Thin + RLS + KPI-Layer [Sprint 3 (W9–12)],PBIX,2 Persona-Rollen,P1,0,To Do,Siehe Monatsaufgaben
